candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay,decision,reasons,warnings,label_t1_positive_premay_splits,label_t2_positive_premay_splits,one_bar_lag_positive_premay_splits,timevarying_latent_positive_premay_splits,timevarying_latent_audited,net_2bps_positive_premay_splits,net_5bps_positive_premay_splits,net_10bps_positive_premay_splits,control_ratio_premay_max_by_split,recent_net_mean_spread_10bps,recent_turnover,recent_newey_west_tstat_lag24,selector_score_no_may
a7al2q_69d146749c30da3c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,8))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,8,12,8|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::8|12,,local_mutation,0089060360bb28d3,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.6386744001375635,0.002076146952258059,0.006876209788920637,,13.937472552120495
a7al2q_3abec814a5c6d0df,"Mul(Abs(ZScore(Mean(open_interest_value_mean,12))),Abs(ZScore(Delta(mark_close,336))))",mark_close|open_interest_value_mean,open_interest|price,oi_abs_x_price_abs_delta,open_interest_value_mean,mark_close,12,336,12|336,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_mean|mark_close::12|336,,local_mutation,009b866dd7f11575,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.7864529333182254,0.0022228704805632524,0.07342612222324636,,13.936417547245028
a7al2q_1378ff7d2322adee,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,8))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,8,24|8,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|8,,local_mutation,0024b4ba9e3b7dd9,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.5977895485931952,0.0020192349055928372,0.004958982394690755,,13.921445356999643
a7al2q_a4993fe3273bf0c8,"Sub(Abs(ZScore(Mean(open_interest_value_last,12))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,12,72,12|72,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::12|72,,local_mutation,01e1791b4f05e81f,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.6664196226160567,0.002062825715511059,0.005899161213015024,,13.896406092895003
a7al2q_0de0d41346741bd1,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,24))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,24,24|24,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|24,,local_mutation,0041dfda1ad09e43,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.6049334484305215,0.0019896866149119465,0.004811503364365379,,13.884753166481424
a7al2q_5da100b2822dc1a6,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(mark_close,504))))",mark_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,mark_close,24,504,24|504,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|mark_close::24|504,,local_mutation,00d1f2c1b288b509,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.6678080866883747,0.001971532404827548,0.004627154576458659,,13.803724318139173
a7al2q_132c2a7c6c4a9142,"Sub(Abs(ZScore(Mean(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,504))))",open_interest_value_mean|trade_close,open_interest|price,abs_level_gap,open_interest_value_mean,trade_close,168,504,168|504,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|trade_close::168|504,,local_mutation,01043d7990fe61d6,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.8147654685480294,0.0019186764415893222,0.0018619227578578672,,13.603910973041293
a7al2q_f00f22bbcc48dc2c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,48))),Abs(ZScore(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,48,96,48|96,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::48|96,,local_mutation,0034c35fee8a3080,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.7371290356519459,0.001826369073692563,0.0030970596368328873,,13.589240038040616
a7al2q_d6f7ebc0dbbdda7a,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,48,12,48|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::48|12,a7al2k_046e806368e99c76,seed_exact,13d8427a6de9f020,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.8138625769990896,0.0018480018389518647,0.0032629735459489347,,13.534139261952776
a7al2q_6671d1fac5e57efe,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,168,336,168|336,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::168|336,a7al2k_0a247ec03472983b,seed_exact,2fb22eef8827a158,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.8901761602600439,0.0018767100449652598,0.001898792515439211,,13.486533884705215
