second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_zscore_72h,L0_raw_forward_return,1,1.0,3,True,0.5511205587988401,0.0007491259835352,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,696,0.00082225428684,3.331977133577197,3.331977133577197,3.331977133577197,0.5804597701149425,719,0.0002246430475602,1.3366181280242904,1.3366181280242904,1.3366181280242904,0.5702364394993046,719,0.0006320239862035,3.3827107503832514,3.3827107503832514,3.3827107503832514,0.6050069541029207,719,0.0010120437386182,3.024166314696344,3.024166314696344,3.024166314696344,0.6216968011126565,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_zscore_72h,L1_cross_sectional_relative_return,1,1.0,3,True,0.5511205587988399,0.0007491259835352,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,696,0.00082225428684,3.331977133577197,3.331977133577197,3.331977133577197,0.5804597701149425,719,0.0002246430475602,1.3366181280242904,1.3366181280242904,1.3366181280242904,0.5702364394993046,719,0.0006320239862035,3.3827107503832514,3.3827107503832514,3.3827107503832514,0.6050069541029207,719,0.0010120437386182,3.024166314696345,3.024166314696345,3.024166314696345,0.6216968011126565,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_zscore_72h,L3_liquidity_tier_relative_return,1,1.0,3,True,0.5572324529857349,0.0006468741427702,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,696,0.0008391010753042,3.844133216618051,3.844133216618051,3.844133216618051,0.603448275862069,719,0.0002468284953961,1.545745957165039,1.545745957165039,1.545745957165039,0.5702364394993046,719,0.0006459773374613,3.656286416899244,3.656286416899244,3.656286416899244,0.5994436717663422,719,0.0009401650635839,2.990646364214131,2.990646364214131,2.990646364214131,0.6119610570236439,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_zscore_72h,L5_vol_adjusted_return,1,1.0,3,True,0.5597485093202936,0.046200727138993,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,696,0.0594098477832814,3.870141457395701,3.870141457395701,3.870141457395701,0.5962643678160919,719,0.0241652027561599,1.4437325428242378,1.4437325428242378,1.4437325428242378,0.5702364394993046,719,0.0577177446407505,3.1256453088228944,3.1256453088228944,3.1256453088228944,0.5980528511821975,719,0.0980268856323082,3.778820212855177,3.778820212855177,3.778820212855177,0.6063977746870653,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_premium_close_bps_delta_24h,L5_vol_adjusted_return,1,1.0,3,True,0.899472354470063,0.0547441406339667,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0258859193602211,2.4597709579606155,2.4597709579606155,2.4597709579606155,0.5582733812949641,719,0.0273509950076431,2.656057098677908,2.656057098677908,2.656057098677908,0.5757997218358831,719,0.0573419843081326,4.358331138930858,4.358331138930858,4.358331138930858,0.5771905424200278,719,0.0867327082212498,4.585799552173569,4.585799552173569,4.585799552173569,0.5521557719054242,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_delta_24h,L0_raw_forward_return,1,1.0,3,True,0.9589484475917146,0.0006735730260404,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0003738239184066,2.0885913152831166,2.0885913152831166,2.0885913152831166,0.5410071942446043,719,0.0002041644518045,1.8533167352101176,1.8533167352101176,1.8533167352101176,0.5563282336578581,719,0.0005258903088756,3.62811952263181,3.62811952263181,3.62811952263181,0.5730180806675939,719,0.000698543234785,2.388367859165565,2.388367859165565,2.388367859165565,0.521557719054242,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_delta_24h,L1_cross_sectional_relative_return,1,1.0,3,True,0.9589484475917148,0.0006735730260404,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0003738239184066,2.088591315283117,2.088591315283117,2.088591315283117,0.5410071942446043,719,0.0002041644518045,1.8533167352101172,1.8533167352101172,1.8533167352101172,0.5563282336578581,719,0.0005258903088756,3.6281195226318097,3.6281195226318097,3.6281195226318097,0.5730180806675939,719,0.000698543234785,2.388367859165565,2.388367859165565,2.388367859165565,0.521557719054242,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_delta_24h,L5_vol_adjusted_return,1,1.0,3,True,0.545539255622955,0.0495265779514065,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0241280484972518,2.3977537536101257,2.3977537536101257,2.3977537536101257,0.5510791366906475,719,0.0343107317725023,3.24999645906208,3.24999645906208,3.24999645906208,0.56884561891516,719,0.0507187008481417,3.939431139024601,3.939431139024601,3.939431139024601,0.5799721835883171,719,0.0947826129846928,4.977746404194704,4.977746404194704,4.977746404194704,0.5563282336578581,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_mark_index_basis_bps_delta_24h,L0_raw_forward_return,1,1.0,3,True,0.8397828324957587,0.0005117667727757,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0003243733541937,1.7362235280959937,1.7362235280959937,1.7362235280959937,0.5625899280575539,719,0.0005857757868088,5.549780583330239,5.549780583330239,5.549780583330239,0.6189151599443672,719,0.0010758096285932,7.025571588311593,7.025571588311593,7.025571588311593,0.6620305980528511,719,0.0012583918896697,4.115950654126346,4.115950654126346,4.115950654126346,0.5591098748261474,95.86666666666666,
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Sub_mark_index_basis_bps_delta_24h,L1_cross_sectional_relative_return,1,1.0,3,True,0.8397828324957588,0.0005117667727757,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,0.0003243733541937,1.7362235280959937,1.7362235280959937,1.7362235280959937,0.5625899280575539,719,0.0005857757868088,5.549780583330239,5.549780583330239,5.549780583330239,0.6189151599443672,719,0.0010758096285932,7.025571588311593,7.025571588311593,7.025571588311593,0.6620305980528511,719,0.0012583918896697,4.115950654126346,4.115950654126346,4.115950654126346,0.5591098748261474,95.86666666666666,
