second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L0_raw_forward_return,1,1.0,2,False,2.0230398598445554,-0.0002545917300899681,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,0.00038781325267418386,2.0284912618178637,2.0284912618178637,2.0284912618178637,0.5316091954022989,719,0.00024680670403165407,2.132733950688908,2.132733950688908,2.132733950688908,0.5465924895688457,719,0.00011790407521353508,0.803800581652941,0.803800581652941,0.803800581652941,0.5285118219749653,719,-0.00025153200382358924,-0.8062528456613465,-0.8062528456613465,-0.8062528456613465,0.5312934631432545,95.86666666666666,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L1_cross_sectional_relative_return,1,1.0,2,False,2.0230398598445554,-0.00025459173008996817,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,0.0003878132526741838,2.0284912618178637,2.0284912618178637,2.0284912618178637,0.5316091954022989,719,0.000246806704031654,2.132733950688907,2.132733950688907,2.132733950688907,0.5465924895688457,719,0.0001179040752135351,0.8038005816529411,0.8038005816529411,0.8038005816529411,0.5285118219749653,719,-0.00025153200382358924,-0.8062528456613465,-0.8062528456613465,-0.8062528456613465,0.5312934631432545,95.86666666666666,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L3_liquidity_tier_relative_return,1,1.0,2,False,1.4696614891129502,-0.00023066942816614525,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,0.0003173144338244732,1.7878478123685937,1.7878478123685937,1.7878478123685937,0.5100574712643678,719,0.0002102227450456907,1.8932736759650768,1.8932736759650768,1.8932736759650768,0.5424200278164116,719,9.66692753810464e-05,0.6966824968717134,0.6966824968717134,0.6966824968717134,0.5159944367176634,719,-0.0002974279509216901,-0.9902705250869558,-0.9902705250869558,-0.9902705250869558,0.5271210013908206,95.86666666666666,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L5_vol_adjusted_return,1,1.0,2,False,1.6897417980840168,-0.023589825223131237,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,0.023804207407453908,2.0174204073944515,2.0174204073944515,2.0174204073944515,0.5344827586206896,719,0.02423790437244403,2.151344115716889,2.151344115716889,2.151344115716889,0.5424200278164116,719,0.01713978920717923,1.185878426389686,1.185878426389686,1.185878426389686,0.5368567454798331,719,-0.02156315058855508,-0.9449210010327064,-0.9449210010327064,-0.9449210010327064,0.5187760778859527,95.86666666666666,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L0_raw_forward_return,4,1.0,1,False,6.369022631737596,0.00013343634231143895,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.0009983226384751456,2.890124103038913,1.5283768260251058,-0.7632898267319116,0.5252525252525253,716,0.00020664095145997202,0.8927357563353999,0.5811739868600898,-0.3625069461593079,0.520949720670391,716,-0.00029055750520857977,-1.0522339778319572,-0.10208211585289882,-1.79763829009453,0.5195530726256983,716,-0.0002575193545787907,-0.44565354447293093,-0.22227187277201355,-0.6377759780997521,0.5502793296089385,95.46666666666667,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L1_cross_sectional_relative_return,4,1.0,1,False,6.369022631737592,0.00013343634231143887,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.0009983226384751454,2.8901241030389127,1.5283768260251056,-0.7632898267319114,0.5252525252525253,716,0.00020664095145997197,0.8927357563353998,0.5811739868600898,-0.3625069461593076,0.520949720670391,716,-0.0002905575052085797,-1.052233977831957,-0.10208211585289877,-1.79763829009453,0.5195530726256983,716,-0.00025751935457879086,-0.4456535444729312,-0.22227187277201377,-0.6377759780997523,0.5502793296089385,95.46666666666667,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L3_liquidity_tier_relative_return,4,1.0,1,False,6.5424441963362,0.0002364420961470514,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.000896887038612928,2.7650671184208697,1.5452611635225768,-0.45183633690050895,0.5281385281385281,716,0.00022033467803938254,0.9941119954090433,0.635853570325418,-0.24579023486502935,0.5293296089385475,716,-0.00031000543301127573,-1.1757839463999789,-0.19325860403107475,-2.006092621921482,0.5027932960893855,716,-0.00024485070902927357,-0.43875654144448534,-0.13236745780411377,-0.7353458482349728,0.5572625698324022,95.46666666666667,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L5_vol_adjusted_return,4,1.0,1,False,13.652077440233874,-0.01204484997907264,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.0449702793665562,2.132171198440193,0.8628332257839443,-0.9132539737668018,0.5209235209235209,716,0.034302005823127805,1.5857494631494315,0.8696149405428908,0.26006302392410524,0.5195530726256983,716,-0.003320626221303388,-0.11437360402895894,0.029398642825237464,-0.9822938596526959,0.5167597765363129,716,-0.043191388922919675,-0.9226624422690939,-0.5730659924349966,-0.8839510649308121,0.5167597765363129,95.46666666666667,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L0_raw_forward_return,8,1.0,2,False,59.24523258042518,0.0005793945108661359,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,689,0.0006910225030436233,1.4793381090253175,0.3253314815837912,-0.11424128157600334,0.532656023222061,712,0.0002880142409373716,0.8641872095019559,0.26373006776713853,-1.1475322501782808,0.5379213483146067,712,-0.0007765057698632315,-1.9305363630632886,-0.7876281969419799,-1.5289308503892016,0.5028089887640449,712,5.707737361097544e-05,0.06936567062354425,-0.1559247297917976,-1.2108525049687682,0.5393258426966292,94.93333333333334,
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h,L1_cross_sectional_relative_return,8,1.0,2,False,59.24523258042518,0.0005793945108661356,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,689,0.000691022503043623,1.4793381090253168,0.32533148158379094,-0.11424128157600352,0.532656023222061,712,0.00028801424093737163,0.8641872095019562,0.2637300677671385,-1.1475322501782808,0.5379213483146067,712,-0.0007765057698632312,-1.930536363063288,-0.7876281969419798,-1.5289308503892023,0.5028089887640449,712,5.707737361097544e-05,0.06936567062354425,-0.1559247297917975,-1.210852504968769,0.5393258426966292,94.93333333333334,
