source_blueprint_id,blueprint_id,horizon_h,variant,split,formula,n_obs,net_mean,net_median,sharpe,sortino,nonoverlap_median_sortino,nonoverlap_floor_sortino,nonoverlap_median_sharpe,nonoverlap_floor_sharpe,max_drawdown,positive_rate,avg_cost,avg_turnover,ic_mean,rankic_mean,capacity_proxy_median_quote_volume,source_lag_hours,orientation,train_orientation_pos_net_mean_24h,train_orientation_neg_net_mean_24h
a7mech1_0001,a7mech1_0001_base_safe_div_oi_funding,4,original,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0003613881649370003,0.0002897436303712433,8.909522767996698,14.49653606346939,14.566881391704218,13.860917169314126,8.953013844935246,8.553021390752932,-0.04291771748923734,0.571969696969697,5.520268561533524e-05,0.11040537123067048,0.03274247048619525,0.04081678693593982,10595217.140214812,0,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0001,a7mech1_0001_base_safe_div_oi_funding,4,source_lag_1h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0002878314433392679,0.00023744432567916477,7.168846855734694,11.025773704069673,10.389336438911904,8.182573440896292,6.754701155133095,5.543474112533005,-0.04615053561216409,0.5795454545454546,5.519471899489771e-05,0.11038943798979542,0.027415725988640206,0.032848773785063234,10741753.7386536,1,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0001,a7mech1_0001_base_safe_div_oi_funding,4,source_lag_2h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.00023289935962561938,0.0002608669291523085,5.839078108322363,8.820969164095542,8.609694231675807,6.222511439908078,5.74552018316675,4.157892936612268,-0.04687498571609716,0.5416666666666666,5.5187425733157975e-05,0.11037485146631594,0.023325574341439673,0.027709316507457223,10363306.411067553,2,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0001,a7mech1_0001_base_safe_div_oi_funding,4,source_lag_4h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.00012139377070858772,0.0001402026168790096,3.084916363567164,4.524200955014642,3.9343446321336017,2.7025082993735623,2.665540325340071,1.9115627338139305,-0.046347055296485085,0.5340909090909091,5.517677442284742e-05,0.11035354884569483,0.015767989103214055,0.019670497577401306,10561804.655815866,4,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0001,a7mech1_0001_base_safe_div_oi_funding,4,control_one_bar_lag,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0002878314433392679,0.00023744432567916477,7.168846855734694,11.025773704069673,10.389336438911904,8.182573440896292,6.754701155133095,5.543474112533005,-0.04615053561216409,0.5795454545454546,5.519471899489771e-05,0.11038943798979542,0.027415725988640206,0.032848773785063234,10741753.7386536,1,-1.0,,
a7mech1_0002,a7mech1_0002_base_safe_div_oi_funding,8,original,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0004990062328736295,0.0005134435180922312,6.342201838651259,9.798191704377103,9.923970520962325,6.805517069687665,6.13200231899767,4.92226259858163,-0.08390437422332564,0.5871212121212122,5.520268561533524e-05,0.11040537123067048,0.03080528461198099,0.040479566575603504,10595217.140214812,0,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0002,a7mech1_0002_base_safe_div_oi_funding,8,source_lag_1h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0003963922256285657,0.00037733541909781203,5.054139884244795,7.46496766270688,7.362853252366319,4.562651158430519,4.97701667862986,2.9967701234301565,-0.08497769377021569,0.5871212121212122,5.519471899489771e-05,0.11038943798979542,0.026163608580642067,0.0349965550951852,10741753.7386536,1,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0002,a7mech1_0002_base_safe_div_oi_funding,8,source_lag_2h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0003504700324965352,0.0003668145107352195,4.500875094243381,6.570655141643724,6.347273696731522,4.07074557644011,4.433638408306824,2.6169627628250733,-0.08684398430497342,0.5568181818181818,5.5187425733157975e-05,0.11037485146631594,0.023972739904084314,0.032166643950390476,10363306.411067553,2,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0002,a7mech1_0002_base_safe_div_oi_funding,8,source_lag_4h,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0002500442826091106,0.0002932325289193321,3.1588571661251046,4.489471396336268,4.302181350585228,1.7631847980563016,2.947822979428465,1.2070406501709847,-0.08923445533817598,0.5492424242424242,5.517677442284742e-05,0.11035354884569483,0.0192786683952041,0.02713432657622285,10561804.655815866,4,-1.0,-0.0005165101917440652,0.00044228179281233915
a7mech1_0002,a7mech1_0002_base_safe_div_oi_funding,8,control_one_bar_lag,blind_june2026_20260601_20260611,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",264,0.0003963922256285657,0.00037733541909781203,5.054139884244795,7.46496766270688,7.362853252366319,4.562651158430519,4.97701667862986,2.9967701234301565,-0.08497769377021569,0.5871212121212122,5.519471899489771e-05,0.11038943798979542,0.026163608580642067,0.0349965550951852,10741753.7386536,1,-1.0,,
