control_id,base_candidate_id,control_mode,control_class,expression,production_family,horizon,availability_mask,uses_same_mask_as_candidate,feature_available_lag_bars,promotable,allowed_in_a7v5_replay,expected_behavior,decision
a7v3_rolling_self_reproduction_12_566291daed88__ctrl_row_shuffle_a1481714,a7v3_rolling_self_reproduction_12_566291daed88,row_shuffle,replay_negative_control,"Decay(agg_avg_agg_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear versus original if signal depends on aligned features,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_566291daed88__ctrl_time_shuffle_a8216c40,a7v3_rolling_self_reproduction_12_566291daed88,time_shuffle,replay_negative_control,"Decay(agg_avg_agg_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear if temporal order matters,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_566291daed88__ctrl_wrong_lag_b2a5fa0c,a7v3_rolling_self_reproduction_12_566291daed88,wrong_lag,replay_negative_control,"Decay(agg_avg_agg_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate must not improve versus original under stale/future timing displacement,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_566291daed88__ctrl_sign_flip_536a0ece,a7v3_rolling_self_reproduction_12_566291daed88,sign_flip,replay_negative_control,"Decay(agg_avg_agg_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,return orientation should invert or materially degrade,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_59b35b375ae9__ctrl_row_shuffle_8f4af753,a7v3_rolling_self_reproduction_12_59b35b375ae9,row_shuffle,replay_negative_control,"Decay(agg_avg_underlying_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear versus original if signal depends on aligned features,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_59b35b375ae9__ctrl_time_shuffle_a024f99e,a7v3_rolling_self_reproduction_12_59b35b375ae9,time_shuffle,replay_negative_control,"Decay(agg_avg_underlying_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear if temporal order matters,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_59b35b375ae9__ctrl_wrong_lag_2b4cfd41,a7v3_rolling_self_reproduction_12_59b35b375ae9,wrong_lag,replay_negative_control,"Decay(agg_avg_underlying_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate must not improve versus original under stale/future timing displacement,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_59b35b375ae9__ctrl_sign_flip_fd9bcb93,a7v3_rolling_self_reproduction_12_59b35b375ae9,sign_flip,replay_negative_control,"Decay(agg_avg_underlying_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,return orientation should invert or materially degrade,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_b28d7ce95edf__ctrl_row_shuffle_8cec4b4a,a7v3_rolling_self_reproduction_12_b28d7ce95edf,row_shuffle,replay_negative_control,"Decay(agg_max_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear versus original if signal depends on aligned features,A7V4_REPLAY_CONTROL_READY
a7v3_rolling_self_reproduction_12_b28d7ce95edf__ctrl_time_shuffle_b13d6517,a7v3_rolling_self_reproduction_12_b28d7ce95edf,time_shuffle,replay_negative_control,"Decay(agg_max_trade_notional,4)",rolling_self_reproduction,12,agg_features_available,True,4,False,True,candidate edge should disappear if temporal order matters,A7V4_REPLAY_CONTROL_READY
