base_field,semantic_type,seed_route,transform_name,formula_count,materialization_count,company_wave_count,levels,motifs,semantic_pairs,side
index_high,basis_premium_like,modifier_only_seed,zmean_1h,14,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,zmean_24h,14,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,zmean_2h,14,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,zmean_4h,14,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,zmean_8h,14,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,delta_12h,13,0,0,L4_factor_candidate_probe,mean_reversion_gate;mul;relative_shock;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,delta_1h,13,0,0,L4_factor_candidate_probe,mean_reversion_gate;mul;relative_shock;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,delta_2h,13,0,0,L4_factor_candidate_probe,mean_reversion_gate;mul;relative_shock;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,delta_4h,13,0,0,L4_factor_candidate_probe,mean_reversion_gate;mul;relative_shock;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,delta_8h,13,0,0,L4_factor_candidate_probe,mean_reversion_gate;mul;relative_shock;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
