a7ls20_rank,a7ls19_rank,blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,non_l7_bonus,score_no_may,skeleton_key,finite_share,nonzero_share,shard_id,lag_ok_bool,robust_ok_bool,premay_all_positive_bool,is_l7,is_placebo,is_low_prior,contains_basis_premium,contains_basis_premium_like,contains_price_like,contains_liquidity_like,contains_volatility_like,contains_positioning_like,contains_open_interest_like,contains_taker_flow_like,contains_funding_state_like,contains_listing_age_like,contains_regime_state,strict_non_l7,strong_non_l7,arbitration_score,a7ls19_reject_reason,a7ls19_decision,is_l5,split_mean_floor,split_mean_median,split_tstat_floor,split_tstat_median,split_nonoverlap_floor,split_positive_rate_floor,split_positive_rate_median,cost_floor,control_margin,non_l5_bonus,non_basis_bonus,a7ls20_deep_score,a7ls20_decision
1,1,a7ls15_54ad1703758fd224,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,336)),CSRank(Delta(age_percentile_active_universe,8))),Sign(Delta(age_percentile_active_universe,8)))",basis_premium_like|listing_age_like,signed_spread,L5_vol_adjusted_return,4,1.0,3,True,0.5534878505940402,0.8854062610178723,True,1.1668983858936617,-0.2088642069780445,True,1.4649265033720886,1.4643265033720887,1.4633265033720886,95.46666666666668,A7LS18a7ls18_s016_NUMERIC_CLUE,61,0.0993336953303746,1.9698257966200567,0.7839455438850229,-0.0977651072498311,0.4918032786885246,83,0.0879181127705325,1.8871275343398752,1.1668983858936617,-0.2088642069780445,0.6265060240963856,84,0.2486385912248093,3.4633344761715086,1.640871436346171,0.6883258366451515,0.6428571428571429,8,1.4653265033720886,5.719354255053636,,,1.0,1.0,1470.7730155214945,skel_d2c2cd29eb5fbfcd,0.7308244757253662,0.0930866745283018,a7ls18_s016,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,1587.563744485852,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,0.0879181127705325,0.17398614327759196,1.8871275343398752,2.7165801363957827,-0.2088642069780445,0.4918032786885246,0.6346815834767643,1.4633265033720886,0.44651214940595985,0.0,0.0,2521.6396034416157,A7LS20_MARGINAL_QUEUE
2,2,a7ls15_204d2b4357f56b5a,"Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)))",taker_flow_like,single,L5_vol_adjusted_return,24,-1.0,3,True,0.7649578942981492,1.003398082252633,True,1.026554992330729,1.6726446042597416,True,0.9960466213721948,0.9954466213721946,0.9944466213721946,92.8,A7LS18a7ls18_s088_NUMERIC_CLUE,673,-0.1813190461594626,-5.195719322560096,-1.174675881070216,-1.925272914778622,0.4353640416047548,696,-0.2575375932269281,-5.013320035896485,-1.026554992330729,-1.6726446042597416,0.4094827586206896,696,-0.4486108261287569,-5.9507009044969,-1.219491650699183,-2.020529833317573,0.4497126436781609,696,-0.9964466213721946,-8.98194178215412,-1.813850993220608,-2.242115808879808,0.3994252873563218,1.0,1001.6816634778964,skel_1926552988410ac0,0.9933927032461936,1.0,a7ls18_s088,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1160.7841898200077,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.9964466213721946,-0.35307420967784253,-8.98194178215412,-5.573210113528498,-2.242115808879808,0.3994252873563218,0.42242340011272217,0.9944466213721946,0.2350421057018508,0.0,1.0,1924.9455666304993,A7LS20_MARGINAL_QUEUE
3,5,a7ls15_6dde8445b9dc0331,"Mul(Delta(mark_index_basis_bps,2),Sign(Mean(Delta(age_percentile_active_universe,24),24)))",basis_premium_like|listing_age_like,state_gate,L5_vol_adjusted_return,8,-1.0,3,True,0.7806943002761827,0.5053402470602881,True,0.6690981187797516,1.761276434198896,True,0.6907505254121353,0.6901505254121353,0.6891505254121353,94.93333333333334,A7LS18a7ls18_s018_NUMERIC_CLUE,463,-0.0350741024049795,-1.0745255751878209,-0.3105924338030041,-1.5974719183810495,0.4578833693304535,387,-0.0924551730174067,-2.710422407058296,-1.3019733306522303,-2.2739082854048944,0.4315245478036176,372,-0.069240377119414,-1.6196247580332248,-0.6690981187797516,-2.2387673321561845,0.4381720430107527,47,-0.6911505254121353,-2.386819111261639,-1.011391738649191,-1.761276434198896,0.3617021276595745,1.0,696.3698311118591,skel_c614d64ff6a8da31,0.8138465958058029,0.4530459465819508,a7ls18_s018,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,799.5281730952881,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.6911505254121353,-0.08084777506841034,-2.710422407058296,-2.003221934647432,-2.2739082854048944,0.3617021276595745,0.43484829540718517,0.6891505254121353,0.2193056997238173,0.0,0.0,1262.8957627578436,A7LS20_MARGINAL_QUEUE
4,6,a7ls15_6b338a109f660b8c,"Mul(Sub(CSRank(Decay(premium_abs_state,240)),CSRank(ZScore(Mean(trade_volume,12)))),Sign(ZScore(Mean(trade_volume,12))))",basis_premium_like|liquidity_like,signed_spread,L5_vol_adjusted_return,24,-1.0,3,True,0.7908365016557191,0.634235875060331,True,1.1884157686967995,1.903572182314631,True,0.6254649236293258,0.6248649236293258,0.6238649236293258,92.8,A7LS18a7ls18_s010_NUMERIC_CLUE,673,-0.2756406469318934,-6.755373928979944,-1.5680759777440785,-2.445592575218161,0.413075780089153,696,-0.4137903224800366,-9.693522375655354,-2.090521291752573,-2.586437178372652,0.389367816091954,696,-0.3421704366993363,-5.960007139053701,-1.1884157686967995,-1.903572182314631,0.4367816091954023,696,-0.6258649236293258,-7.805766401022092,-1.6647644041169725,-2.5896524719344263,0.3764367816091954,1.0,631.07408712767,skel_7ced7a1852c7e2ed,0.993105429474289,0.9899268392633304,a7ls18_s010,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,733.623897028327,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.6258649236293258,-0.37798037958968644,-9.693522375655354,-7.280570165001018,-2.5896524719344263,0.3764367816091954,0.40122179809055347,0.6238649236293258,0.20916349834428094,0.0,0.0,1205.9662358196115,A7LS20_MARGINAL_QUEUE
5,7,a7ls15_3df186f6ef65ad1b,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,24)),ZScore(Mean(taker_buy_sell_volume_ratio_last,4)))",taker_flow_like,sub,L5_vol_adjusted_return,24,-1.0,3,True,0.7188385725868589,0.5111774431709764,True,1.194336755132722,2.568742108102204,True,0.5138509167660844,0.5132509167660844,0.5122509167660844,92.8,A7LS18a7ls18_s088_NUMERIC_CLUE,673,-0.076951348045713,-1.754062062281761,-0.5089165237152382,-1.3879674167530731,0.4933135215453195,696,-0.2980751572571266,-7.030845819179363,-1.3540572276889562,-3.559963408304256,0.3979885057471264,696,-0.4450222602148039,-7.517446263870907,-1.6890329965218385,-3.9055048009971314,0.3864942528735632,696,-0.5142509167660844,-5.547684722098814,-1.194336755132722,-2.568742108102204,0.4396551724137931,1.0,519.5320781934976,skel_bcb165b7818f5d85,0.9933927032461936,1.0,a7ls18_s088,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,681.401763838286,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.5142509167660844,-0.37154870873596524,-7.517446263870907,-6.289265270639088,-3.9055048009971314,0.3864942528735632,0.4188218390804598,0.5122509167660844,0.2811614274131411,0.0,1.0,1081.9686935199647,A7LS20_MARGINAL_QUEUE
6,8,a7ls15_4dcdc7b425d7a981,"Sub(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,16))),Delta(realized_vol_168h,48))",taker_flow_like|volatility_like,sub,L5_vol_adjusted_return,24,-1.0,3,True,0.6164475206684039,0.398806363121562,True,0.8559798532966034,1.5383701930879372,True,0.4268040544393219,0.4262040544393219,0.4252040544393219,92.8,A7LS18a7ls18_s092_NUMERIC_CLUE,648,-0.1029426938103665,-2.6869254499822803,-0.6069003968519476,-1.977800321518692,0.5077160493827161,696,-0.2340526971775162,-4.747485508722305,-0.8952828984320342,-1.996594477821636,0.4295977011494253,696,-0.2695696270454829,-4.037804738229384,-0.8559798532966034,-1.5383701930879372,0.4612068965517241,696,-0.4272040544393219,-5.962923670057934,-1.1508680017201272,-3.5972234712846904,0.396551724137931,1.0,432.5876069186535,skel_977fab637a7d4823,0.8135593220338984,1.0,a7ls18_s092,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,600.6007556785493,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.4272040544393219,-0.25181116211149956,-5.962923670057934,-4.392645123475845,-3.5972234712846904,0.396551724137931,0.4454022988505747,0.4252040544393219,0.3835524793315961,0.0,1.0,904.3170954217729,A7LS20_MARGINAL_QUEUE
7,9,a7ls15_defc4a5a369f820f,"Mul(TSRank(mark_index_basis_bps,240),Sign(Decay(mark_trade_basis_bps,504)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,8,-1.0,3,True,0.7949533457967767,0.3479932293620381,True,0.6258198923298731,1.6058293851289498,True,0.4299996127109011,0.4293996127109011,0.4283996127109011,94.93333333333334,A7LS18a7ls18_s000_NUMERIC_CLUE,688,-0.0649908987754365,-2.310955598835647,-0.8535789064491859,-1.9494861420509555,0.4738372093023256,712,-0.0468419497715485,-1.50408107434144,-0.6258198923298731,-1.6058293851289498,0.4859550561797753,712,-0.2217462936678761,-5.658357004103145,-1.9649080663110248,-2.928084095763619,0.375,712,-0.4303996127109011,-6.475050825170055,-2.200255178793588,-2.8391883104076334,0.4157303370786517,1.0,435.60465936510434,skel_3afee12eb6a9078f,0.993105429474289,1.0,a7ls18_s000,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,537.9074586172977,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.4303996127109011,-0.1433685962216563,-6.475050825170055,-3.9846563014693963,-2.928084095763619,0.375,0.4447837731904887,0.4283996127109011,0.20504665420322332,0.0,0.0,818.9537676617769,A7LS20_MARGINAL_QUEUE
8,11,a7ls15_5275f07bf670d712,"Mul(Delta(Abs(ZScore(Mean(basis_abs_168h,16))),4),ZScore(Delta(trade_volume,168)))",basis_premium_like|liquidity_like,relative_shock,L5_vol_adjusted_return,24,-1.0,3,True,0.7168068994430205,0.388079816116837,True,0.6320366864556768,1.6650054959592702,True,0.4042376022135369,0.4036376022135369,0.4026376022135369,92.8,A7LS18a7ls18_s009_NUMERIC_CLUE,528,-0.1333385862651494,-2.8230574241135327,-0.4665008344671604,-1.820835124119584,0.4564393939393939,696,-0.2042814543298867,-3.8207246432166,-0.9224641929933364,-2.6688018630174186,0.4568965517241379,696,-0.2407499948962446,-3.1947862080644005,-0.6856449324668059,-1.6650054959592702,0.4956896551724138,696,-0.4046376022135369,-3.3911557860234227,-0.6320366864556768,-2.878492816198788,0.4727011494252873,1.0,409.9207953140939,skel_43237bd24e4079e9,0.7790864694053433,1.0,a7ls18_s009,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,516.9123813475127,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.4046376022135369,-0.22251572461306565,-3.8207246432166,-3.292970997043912,-2.878492816198788,0.4564393939393939,0.4647988505747126,0.4026376022135369,0.28319310055697955,0.0,0.0,803.2718507217327,A7LS20_MARGINAL_QUEUE
9,10,a7ls15_b71e18b57ead6ad9,"Sub(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48))),ZScore(Mean(median_quote_volume_168h,72)))",taker_flow_like|liquidity_like,sub,L5_vol_adjusted_return,24,-1.0,3,True,0.7637161936803757,0.3889169746898284,True,0.8514584128951668,1.7152118185672265,True,0.3680773824534013,0.3674773824534013,0.3664773824534013,92.8,A7LS18a7ls18_s089_NUMERIC_CLUE,673,-0.5041686776273668,-9.08058447304079,-1.89873202988992,-2.392478912135283,0.387815750371471,696,-0.3731832540468817,-6.986941766462039,-1.5277296301697694,-2.4858753655911965,0.3951149425287356,696,-0.5347331059324374,-7.995799621530456,-1.6488107174207016,-2.9584550636750446,0.3721264367816091,696,-0.3684773824534013,-4.5793521195607685,-0.8514584128951668,-1.7152118185672265,0.4353448275862069,1.0,373.713666259721,skel_2674b9b28339672e,0.834530307382936,1.0,a7ls18_s089,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,532.8906946388985,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.5347331059324374,-0.43867596583712426,-9.08058447304079,-7.491370693996247,-2.9584550636750446,0.3721264367816091,0.3914653464501033,0.3664773824534013,0.2362838063196243,0.0,1.0,799.8618021159058,A7LS20_MARGINAL_QUEUE
10,12,a7ls15_9c1cfb5e02844b76,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L5_vol_adjusted_return,8,-1.0,3,True,0.6196426762880531,0.2474737953713839,True,0.6269007657003582,2.3257390719032007,True,0.3898478213379182,0.3892478213379182,0.3882478213379182,94.93333333333334,A7LS18a7ls18_s003_NUMERIC_CLUE,700,-0.0150161408964404,-0.519621626564993,-0.1752877095373683,-1.634500348988936,0.48,712,-0.0557262408090269,-2.0187829422163017,-0.6269007657003582,-2.5267199939028933,0.4410112359550562,712,-0.1378316439477126,-3.261928771816353,-1.3296474739505553,-2.3257390719032007,0.4508426966292135,712,-0.3902478213379182,-5.507263806737558,-2.3333393520725183,-3.2785563652734826,0.4115168539325842,1.0,395.6281786616302,skel_1d39996e97d5ace0,0.9962654409652398,0.998429089773164,a7ls18_s003,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,508.4496180843471,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,True,-0.3902478213379182,-0.09677894237836976,-5.507263806737558,-2.6403558570163277,-3.2785563652734826,0.4115168539325842,0.44592696629213485,0.3882478213379182,0.38035732371194686,0.0,0.0,767.7805835850181,A7LS20_MARGINAL_QUEUE
