blueprint_id,expression,semantic_pair,motif,skeleton_key,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error
a7ff24r_09b35fe95cd05cef,mark_index_basis_bps,basis_premium_like,single,skel_ca36cd3eaf5a3a94,True,0.9997127262280954,0.9874102011494252,True,-2236.5719900454283,175.57105506924574,15.280127979862662,
a7ff24r_1313bae0f47d683a,"Mean(mark_index_basis_bps,168)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-137.2813207494281,39.01088074725621,8.028756457727772,
a7ff24r_1c3b5e472e010cc0,"Mean(mark_index_basis_bps,4)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9988509049123815,0.9997453503978525,True,-956.4165749285362,98.62591349901709,12.07291810405784,
a7ff24r_3c18085739c75d99,"Decay(mark_index_basis_bps,168)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-122.82351607920563,40.913756201431696,8.130872099945725,
a7ff24r_44729f0f6d18b9fe,"ZScore(Mean(mark_index_basis_bps,2))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9994254524561907,1.0,True,-9.678300745950867,7.451311923999652,0.9947780321927768,
a7ff24r_49641183569fa632,"ZScore(Mean(mark_index_basis_bps,1))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.0,0.0,False,,,,
a7ff24r_49df8a5d77c3bce5,"Mean(mark_index_basis_bps,24)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.993105429474289,1.0,True,-375.1823833591966,52.22366374415348,9.799310150624454,
a7ff24r_4f65613a81b1eeff,"ZScore(Mean(mark_index_basis_bps,4))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9988509049123815,1.0,True,-9.662285023000624,7.421240189301054,0.9947780321927768,
a7ff24r_547c0ff8380f3778,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",basis_premium_like,single,skel_1926552988410ac0,True,0.997701809824763,1.0,True,1.3822529046211019e-06,9.638868463157463,0.7669471976944124,
a7ff24r_57e00327a34e91e3,"Delta(mark_index_basis_bps,24)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9928181557023844,0.9977424527391975,True,-2221.8833516817426,2219.9942134002204,18.41265985614728,
a7ff24r_5e3756c09dd9800d,"Mean(mark_index_basis_bps,1)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.0,0.0,False,,,,
a7ff24r_6511aa6092778791,"Mean(mark_index_basis_bps,2)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9994254524561907,0.9986556242215195,True,-1305.2043607274463,122.98002265645482,13.44349665427028,
a7ff24r_6a8e4e33dbe4b09c,"Delta(mark_index_basis_bps,168)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9514507325481184,0.9978927636876006,True,-2236.2400283845427,2235.6487725320085,19.731131678893416,
a7ff24r_6b9e4107d4ce11d4,"Delta(mark_index_basis_bps,4)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9985636311404769,0.9983607834675873,True,-2232.507923890864,2123.9480092613157,16.668618582856684,
a7ff24r_7f71b2e363dddbd6,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",basis_premium_like,single,skel_1926552988410ac0,True,0.9933927032461937,1.0,True,6.363180627057449e-08,8.805690125506143,0.7735747148414304,
a7ff24r_8471f37f26b71942,"ZScore(Mean(mark_index_basis_bps,48))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9933927032461937,1.0,True,-9.429494878721089,6.844175954387654,0.9947780321927768,
a7ff24r_858ff2210f276fcf,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9962654409652398,0.9984290897731641,True,-2243.854339580373,2074.5076036970345,17.29222015576861,
a7ff24r_88992f2e9ba008c9,"ZScore(Mean(mark_index_basis_bps,168))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9933927032461937,1.0,True,-8.805690125506143,6.405427282856525,0.9947780321927768,
a7ff24r_8bf0eefef7542ccd,"Delta(mark_index_basis_bps,1)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9994254524561907,0.9985478346268085,True,-2248.424744016522,1862.7352586359634,14.528202952726959,
a7ff24r_8ee65f030b52e93f,"Decay(mark_index_basis_bps,24)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.993105429474289,1.0,True,-362.0055167380312,54.9415350240351,10.032162333809133,
a7ff24r_a39fead768620491,"Mean(mark_index_basis_bps,336)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-91.03196527210824,36.54817183270889,7.815747599412978,
a7ff24r_acdf1de7772e8224,"Delta(mark_index_basis_bps,336)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9031887388681413,0.9978563666242578,True,-2224.444529768935,2221.9847100532406,20.539391901674417,
a7ff24r_ba91531e12984292,"Mean(mark_index_basis_bps,8)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.997701809824763,0.9999970006718495,True,-586.8076495963294,62.659382203979476,11.02095824077359,
a7ff24r_bb78ec0b9ce75244,"Mean(mark_index_basis_bps,72)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-170.50633647688707,44.2735493036483,8.632411692804196,
a7ff24r_bfe9e22928a7e753,"ZScore(Mean(mark_index_basis_bps,12))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9965527147371445,1.0,True,-9.597089138750269,7.418942905602809,0.9947780321927768,
a7ff24r_d7aea3d28b581d05,"ZScore(Mean(mark_index_basis_bps,336))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9933927032461937,1.0,True,-7.910146684232863,6.658181393227159,0.9947780321927768,
a7ff24r_d7ef0776f1dae5df,"Abs(ZScore(Mean(mark_index_basis_bps,24)))",basis_premium_like,single,skel_1926552988410ac0,True,0.993105429474289,1.0,True,3.963089278463787e-06,9.509498195239683,0.7766547030167537,
a7ff24r_daaa1b56bc5d5709,"Mean(mark_index_basis_bps,12)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9965527147371445,1.0,True,-504.0038976784135,58.616323323541415,10.51921086065718,
a7ff24r_e2c62815ca1308e7,"Decay(mark_index_basis_bps,8)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.997701809824763,0.9999970006718495,True,-769.9409292860439,83.25208547321105,11.31055523758647,
a7ff24r_e582d2a2908a95d8,"Abs(ZScore(Mean(mark_index_basis_bps,72)))",basis_premium_like,single,skel_1926552988410ac0,True,0.9933927032461937,1.0,True,1.0315991484700648e-06,9.14119681548309,0.7781931990562322,
a7ff24r_e66cb2221d4873e6,"Decay(mark_index_basis_bps,72)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-209.7605423566137,47.03843261207038,8.875920707746289,
a7ff24r_eab92902c63036e3,"Delta(mark_index_basis_bps,2)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9991381786842861,0.9986791978148362,True,-2234.93166509676,2135.0539646473276,15.916201775503719,
a7ff24r_eb94ce69b7faa44c,"Delta(mark_index_basis_bps,72)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9790290146509624,0.9976831474960877,True,-2220.6097434829394,2231.6431211016693,19.35449346148638,
a7ff24r_ec49ba0ff46743d0,"Delta(mark_index_basis_bps,48)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9859235851766733,0.997732736013986,True,-2255.5612101485644,2236.7516029886956,19.135514429962974,
a7ff24r_f38e776e4a9338ce,"ZScore(Mean(mark_index_basis_bps,8))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.997701809824763,1.0,True,-9.638868463157463,7.335270227706,0.9947780321927768,
a7ff24r_f78f703c043d4ca5,"ZScore(Mean(mark_index_basis_bps,24))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.993105429474289,1.0,True,-9.509498195239683,6.985376409302093,0.9947780321927768,
a7ff24r_fad5886189793630,"Delta(mark_index_basis_bps,8)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9974145360528583,0.9976688508064516,True,-2221.785211308895,2120.9176010941655,17.31962052806972,
a7ff24r_fe0e46a6ad043180,"ZScore(Mean(mark_index_basis_bps,72))",basis_premium_like,single,skel_a311ee3fdacdeca2,True,0.9933927032461937,1.0,True,-9.14119681548309,6.58972438333444,0.9947780321927768,
a7ff24r_ffbf24e72b8becc7,"Mean(mark_index_basis_bps,48)",basis_premium_like,single,skel_1d39996e97d5ace0,True,0.9933927032461937,1.0,True,-227.11223276238744,47.80878069637083,9.057239017535556,
a7ff24r_00032af08d0dfb07,"Sub(CSRank(premium_close_bps),CSRank(ZScore(Mean(realized_vol_24h,12))))",basis_premium_like|volatility_like,spread_rank,skel_a923757a8885923c,True,0.8241884515943695,0.9909993319391194,True,-0.9895833333333334,0.9895833333333334,0.40227504403541753,
a7ff24r_001a5606c6046f00,"Mul(premium_close_bps,Delta(trade_return_1h,2))",basis_premium_like|price_like,mul,skel_f8484b844efd270f,True,0.9985636311404769,0.6621325997314922,True,-452.33638428932124,115.39382324230118,1.4476110866537726,
a7ff24r_00545b50e17f74e8,"Mean(Mul(Mean(mark_index_basis_bps,8),ZScore(Mean(premium_close_bps,4))),4)",basis_premium_like|basis_premium_like,smooth_mul,skel_bb02868db9f6b779,True,0.9968399885090491,1.0,True,-427.26987938013554,5503.772319232144,67.21555481669735,
