candidate_id,baseline,beta_train,alpha_train,corr_train,train_rows,uses_train_only,uses_may,residual_frame_beta_train,residual_frame_alpha_train
a7i1a_fundingcore_baseline,FundingCore,1.0000000000000004,-2.548077279001894e-19,1.0,8736,True,False,1.0000000000000004,-2.548077279001894e-19
a7i1a_fundingcore_baseline,Core4,0.7329855624449519,8.013375475861058e-05,0.6744931357851058,8736,True,False,0.7329855624449519,8.013375475861058e-05
a7i1a_core4_benchmark,FundingCore,0.6206684190391423,-2.447426365947872e-05,0.6744931357851057,8736,True,False,0.6206684190391423,-2.447426365947872e-05
a7i1a_core4_benchmark,Core4,0.9999999999999991,-6.235305688936317e-19,1.0,8736,True,False,0.9999999999999991,-6.235305688936317e-19
a7i1a_taker_imbalance_original,FundingCore,-0.0002916049311010561,-0.00040358775284700014,-0.0003334317339533568,8736,True,False,-0.0002916049311010561,-0.00040358775284700014
a7i1a_taker_imbalance_original,Core4,-0.006242259782182288,-0.00040333171236789605,-0.006568043487269808,8736,True,False,-0.006242259782182288,-0.00040333171236789605
a7i1a_avg_trade_size_original,FundingCore,0.17231852040608645,-0.000210326735819056,0.15091545398157835,8736,True,False,0.17231852040608645,-0.000210326735819056
a7i1a_avg_trade_size_original,Core4,0.0206835599795979,-0.00019162280365161242,0.01666898521645286,8736,True,False,0.0206835599795979,-0.00019162280365161242
a7i1a_taker_imbalance_sign_flip,FundingCore,9.981146218905208e-05,-0.0003228682634637736,0.00011418158683295787,8736,True,False,9.981146218905208e-05,-0.0003228682634637736
a7i1a_taker_imbalance_sign_flip,Core4,0.006222322474762564,-0.00032314526466951303,0.0065501355149437486,8736,True,False,0.006222322474762564,-0.00032314526466951303
a7i1a_taker_imbalance_row_shuffle,FundingCore,-0.009834382394211163,-0.0003876200767685065,-0.011397911431750538,8736,True,False,-0.009834382394211163,-0.0003876200767685065
a7i1a_taker_imbalance_row_shuffle,Core4,-0.0015745177912785554,-0.0003886692629892633,-0.0016792210623779505,8736,True,False,-0.0015745177912785554,-0.0003886692629892633
a7i1a_taker_imbalance_time_shuffle,FundingCore,0.01656911618958443,-0.00035413662456612675,0.01880032046201735,8736,True,False,0.01656911618958443,-0.00035413662456612675
a7i1a_taker_imbalance_time_shuffle,Core4,0.015570016637165415,-0.00035296762426083225,0.016256876225051183,8736,True,False,0.015570016637165415,-0.00035296762426083225
a7i1a_taker_imbalance_wrong_lag,FundingCore,-0.01779694858481341,-0.0003861315103663628,-0.02063696496697107,8736,True,False,-0.01779694858481341,-0.0003861315103663628
a7i1a_taker_imbalance_wrong_lag,Core4,-0.002235099063234149,-0.00038805865630146683,-0.0023849494119854344,8736,True,False,-0.002235099063234149,-0.00038805865630146683
a7i1a_random_noise_placebo,FundingCore,0.006356538126706922,-0.00045011274049293326,0.007377162893636948,8736,True,False,0.006356538126706922,-0.00045011274049293326
a7i1a_random_noise_placebo,Core4,0.002528080099879653,-0.00044950459238777077,0.0026998625870618426,8736,True,False,0.002528080099879653,-0.00044950459238777077
