authorizes_alpha_proof,authorizes_bounded_reward_smoke,authorizes_full_reward_wave,authorizes_shadow_paper_live,candidate_cap,decision,eval_error_rows,generated_at,hours_per_split,metric_rows,near_miss_rows,output_selected_queue,proxy_control_variants,proxy_horizons,queue,queue_rows,reward_rows,runtime,selected_motif_count,selected_rows,selected_semantic_pair_count,selected_unique_blueprints,stage,strict_pass_rows,successive_halving,proxy_shard_id,source_file
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:03:51Z,720,5120,4,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s000\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s000.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s000\proxy_runtime,2,4,2,4,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,3,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s000\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s000,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s000\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:04:38Z,720,5120,6,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s001\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s001.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s001\proxy_runtime,4,6,3,5,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,5,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s001\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s001,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s001\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:05:49Z,720,5120,4,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s002\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s002.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s002\proxy_runtime,4,4,4,4,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s002\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s002,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s002\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:02:50Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s003\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s003.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s003\proxy_runtime,2,3,2,3,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,2,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s003\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s003,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s003\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:05:04Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s004\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s004.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s004\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s004\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s004,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s004\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:03:11Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s005\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s005.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s005\proxy_runtime,2,3,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s005\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s005,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s005\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:05:44Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s006\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s006.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s006\proxy_runtime,2,3,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s006\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s006,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s006\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,128,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-07-06T09:05:20Z,720,5120,0,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s007\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s007.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s007\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s007\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s007,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s007\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:04:55Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s008\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s008.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s008\proxy_runtime,3,3,3,3,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s008\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s008,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s008\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T09:07:38Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s009\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s009.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s009\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s009\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s009,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s009\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:04:32Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s010\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s010.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s010\proxy_runtime,2,3,1,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s010\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s010,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s010\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,128,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-07-06T12:05:39Z,720,5120,0,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s011\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s011.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s011\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s011\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s011,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s011\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:08:19Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s012\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s012.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s012\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s012\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s012,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s012\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:09:17Z,720,5120,5,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s013\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s013.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s013\proxy_runtime,4,5,3,4,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,2,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s013\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s013,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s013\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:07:11Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s014\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s014.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s014\proxy_runtime,3,3,3,3,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s014\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s014,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s014\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:07:17Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s015\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s015.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s015\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s015\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s015,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s015\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:09:17Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s016\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s016.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s016\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s016\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s016,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s016\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:06:28Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s017\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s017.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s017\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s017\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s017,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s017\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:09:23Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s018\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s018.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s018\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s018\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s018,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s018\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T12:23:15Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s019\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s019.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s019\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s019\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s019,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s019\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T15:08:33Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s020\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s020.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s020\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s020\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s020,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s020\proxy_runtime\a7v3s9_proxy_manifest.json
