semantic_pair,motif,label_family,triage_decision,count
basis_premium_like,signed_spread,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
basis_premium_like|liquidity_like,signed_spread,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
basis_premium_like|listing_age_like,signed_spread,L5_vol_adjusted_return,HOLD_DUPLICATE_CLUSTER_FOLLOWER,1
basis_premium_like|listing_age_like,state_gate,L3_liquidity_tier_relative_return,HOLD_STABILITY_OR_COST_WEAK,1
basis_premium_like|positioning_like,mul,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
basis_premium_like|price_like,signed_spread,L7_ranked_future_return,DIAGNOSTIC_ONLY_RANK_LABEL,1
funding_state_like|liquidity_like,mul,L7_ranked_future_return,DIAGNOSTIC_ONLY_RANK_LABEL,1
listing_age_like|basis_premium_like,mul,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
open_interest_like|positioning_like,state_gate,L1_cross_sectional_relative_return,HOLD_LOW_MARGINAL_SCORE,1
open_interest_like|taker_flow_like,smooth_mul,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
positioning_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,ALLOW_KEEP_REVIEW,1
price_like,spread_rank,L7_ranked_future_return,DIAGNOSTIC_ONLY_RANK_LABEL,1
