blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,decision,shard,score_no_may,control_ratio_premay_max,robust_min_tstat_floor,cost10_recent_oriented,one_bar_lag_recent_oriented,skeleton_key,finite_share,nonzero_share,shortlist_score
a7ls1_12a10b4f6406b9f3,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L5_vol_adjusted_return,8,A7LS3HRS008_NUMERIC_CLUE,s008,395.4159987202647,0.8318226176535618,2.3257390719032007,0.3882478213379182,0.2474737953713839,skel_1d39996e97d5ace0,0.9962654409652398,0.998429089773164,390.40824172670955
a7ls1_0d31d5485da3efcc,"Neg(Mul(Abs(ZScore(Mean(premium_count,72))),Delta(mark_index_basis_bps,12)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,8,A7LS3HRS012_NUMERIC_CLUE,s012,393.839280788081,0.892562240116286,-0.6547029404473875,0.3867318430281972,0.2414790416862059,skel_6973b6ef87ba0b0d,0.8908359666762424,0.9984413630011824,372.71452128351837
a7ls1_863cbcd7c72eacad,"Delta(mark_index_basis_bps,2)",basis_premium_like,single,L5_vol_adjusted_return,24,A7LS3HRS009_NUMERIC_CLUE,s009,288.0993785031674,0.6632444788987588,2.119775533823057,0.2807626229820661,0.1655485597036653,skel_1d39996e97d5ace0,0.999138178684286,0.9986791978148362,285.4333665943075
a7ls1_05cf24eeecfd6a55,"Neg(Mul(premium_count,TSRank(mark_index_basis_bps,24)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,8,A7LS3HRS010_NUMERIC_CLUE,s010,305.11866857957426,0.8679566829142322,-0.8709352992093827,0.2979866252624885,0.1923244298980067,skel_03a79df769f8f145,0.993105429474289,1.0,283.4048584252427
a7ls1_16a5caf2ffe2a929,"Mul(Delta(mark_index_basis_bps,2),Sign(Abs(ZScore(Mean(mark_trade_basis_bps,24)))))",basis_premium_like,gated_sign,L5_vol_adjusted_return,24,A7LS3HRS000_NUMERIC_CLUE,s000,287.8598402504361,0.90278273163,2.119775533823057,0.2807626229820661,0.1655485597036653,skel_437d739eeb4ca960,0.993105429474289,0.9986711744286954,280.40306328695135
a7ls1_2329004bd399a4dd,"Neg(Mul(premium_count,Delta(mark_trade_basis_bps,168)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,8,A7LS3HRS011_NUMERIC_CLUE,s011,236.45174221368447,0.5541747653706799,2.394450252750994,0.2290059169790551,0.0927705500175616,skel_03a79df769f8f145,0.9514507325481184,0.8895902526167472,237.34049817002585
a7ls1_06d5726f5d1f3e8b,"Neg(Mul(Decay(premium_count,24),Delta(mark_trade_basis_bps,168)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,8,A7LS3HRS011_NUMERIC_CLUE,s011,235.4131088900025,0.5547003040841954,2.394450252750994,0.2279678091940866,0.0919349408801059,skel_5aa3c6bd7cbc604b,0.9514507325481184,0.8895902526167472,236.29135407207355
a7ls1_7f03951e0f6aff50,"Delta(mark_index_basis_bps,24)",basis_premium_like,single,L5_vol_adjusted_return,1,A7LS3HRS011_NUMERIC_CLUE,s011,167.60844907056224,0.8310629993440081,7.332632447466704,0.1604395120699062,0.0494657496492833,skel_1d39996e97d5ace0,0.9928181557023844,0.9977424527391976,187.6503513210156
a7ls1_0cc2210239b45ef6,"Neg(Mul(ZScore(Mean(premium_count,168)),TSRank(mark_index_basis_bps,24)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,4,A7LS3HRS011_NUMERIC_CLUE,s011,173.7491506638188,0.8525600775643986,0.4440714082460154,0.1666017107413832,0.059527065747373,skel_9995be0537f8d000,0.9821890261419132,1.0,158.9183061537609
a7ls1_1051ff7f77666261,"Neg(Mul(Abs(ZScore(Mean(premium_count,72))),ZScore(Mean(mark_index_basis_bps,2))))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,1,A7LS3HRS012_NUMERIC_CLUE,s012,118.34764733764726,0.9053010630555264,4.24988718853804,0.1112529484007028,0.0323722560412294,skel_e0687779aae44bd6,0.8908359666762424,1.0,121.49106201922694
a7ls1_3dc585e9cbfa19cb,"Neg(Mul(premium_count,ZScore(Mean(mark_index_basis_bps,2))))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,1,A7LS3HRS009_NUMERIC_CLUE,s009,111.30020685190507,0.9492353659980488,4.352414236621528,0.1042494422179031,0.0319818405804998,skel_b3b832e70085d952,0.9994254524561909,1.0,114.07757071505175
a7ls1_0bf34355b4a7a5a7,"Neg(Mul(Mean(premium_count,4),ZScore(Mean(mark_index_basis_bps,2))))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,1,A7LS3HRS009_NUMERIC_CLUE,s009,111.03190056764328,0.9562613333615706,4.352414236621528,0.1039881619010048,0.0320676393253447,skel_7a46080bacc0bcf0,0.9988509049123816,1.0,113.66874508351951
a7ls1_09b48e96ad2d0f9d,"Mul(Delta(mark_index_basis_bps,4),Sign(Mean(mark_trade_basis_bps,168)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,A7LS3HRS000_NUMERIC_CLUE,s000,91.87147797988952,0.2832469275218533,4.202543558317895,0.0841547249074114,0.0305558299360856,skel_3afee12eb6a9078f,0.993105429474289,0.9983517741779964,107.21925722104193
a7ls1_0b14870f0c217c0c,"Neg(Mul(premium_count,Delta(premium_close_bps,12)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,1,A7LS3HRS012_NUMERIC_CLUE,s012,86.75769118157548,0.5218763402812944,2.7077478737677376,0.0792795675218567,0.0447412407659211,skel_03a79df769f8f145,0.9962654409652398,0.8265420751633987,89.85890374478828
a7ls1_64f4385708e3b520,"Delta(premium_close_bps,24)",basis_premium_like,single,L5_vol_adjusted_return,1,A7LS3HRS012_NUMERIC_CLUE,s012,92.06486369381696,0.7746225242403144,2.390736894903998,0.0848394862180572,0.0471641596947673,skel_1d39996e97d5ace0,0.9928181557023844,0.8288604359567902,88.52609768353066
a7ls1_08b0eb0915a2c45e,"Neg(Mul(Mean(premium_count,24),TSRank(premium_close_bps,24)))",low_prior_axes|basis_premium_like,control_flip,L5_vol_adjusted_return,1,A7LS3HRS009_NUMERIC_CLUE,s009,83.24449389919035,0.8447838114348232,2.761113175969631,0.0760892777106251,0.0371197425261584,skel_5aa3c6bd7cbc604b,0.993105429474289,1.0,80.15438355034203
a7ls1_0bb7b0b8b56eb2c3,"Mul(Delta(mark_index_basis_bps,1),Sign(Mean(premium_close_bps,12)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,8,A7LS3HRS002_NUMERIC_CLUE,s002,91.4556215465997,0.5714381676159255,-0.5246669937468605,0.0840270597142156,0.0357776144518366,skel_3afee12eb6a9078f,0.9965527147371444,0.9805029066974152,77.40352322554689
a7ls1_0dcc223f83772ffa,"Mul(mark_index_basis_bps,Sign(Mean(mark_trade_basis_bps,12)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,A7LS3HRS002_NUMERIC_CLUE,s002,60.30276998560151,0.8590510777023744,2.690038262041152,0.0531618210633038,0.017492405271976,skel_a2f58ee62d9e7ad2,0.9965527147371444,0.987298212741424,56.57193974175978
a7ls1_5be46d6af537a5ba,"Mul(Delta(trade_close,1),Sign(mark_close))",price_like,gated_sign,L5_vol_adjusted_return,1,A7LS3HRS006_NUMERIC_CLUE,s006,54.89857795840263,0.8148720802786873,1.3395294784520886,0.0477134500386813,0.0144941301065537,skel_136259b72205469f,0.9994254524561909,0.9644833285426848,45.29878374508933
a7ls1_2b8e8f97a11c94b9,"Mul(Delta(trade_close,1),Sign(Mean(mark_close,4)))",price_like,gated_sign,L5_vol_adjusted_return,1,A7LS3HRS006_NUMERIC_CLUE,s006,54.85570404618897,0.8577459924923537,1.3395294784520886,0.0477134500386813,0.0144941301065537,skel_3afee12eb6a9078f,0.9988509049123816,0.964462899050906,44.398431588602335
a7ls1_0ae05ed6c819473c,"Mul(mark_index_basis_bps,Sign(ZScore(Mean(premium_close_bps,72))))",basis_premium_like,gated_sign,L3_liquidity_tier_relative_return,1,A7LS3HRS003_NUMERIC_CLUE,s003,6.171683773934723,0.8283162260652769,2.013623286860745,-0.0010546860341215,0.0002992313748147,skel_c80f62c274b367a9,0.993105429474289,0.9873445183685275,-0.3265243130670896
a7ls1_52d7953e8b29bf33,"Mul(Mean(open_interest_last,4),Sign(Delta(open_interest_mean,8)))",open_interest_like,gated_sign,L3_liquidity_tier_relative_return,8,A7LS3HRS005_NUMERIC_CLUE,s005,7.142560191914563,0.864118369237264,-0.2031781182316065,6.678561151827241e-06,0.0018709161906541,skel_3afee12eb6a9078f,0.997701809824763,1.0,-11.155697783988751
