queue_rank,second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,lag_bonus,non_l5_bonus,selection_score,queue_role
1,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_4h,tsrank_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_4h_Mul_trade_quote_volume_tsrank_168h,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.6445555523517515,0.0003674561964612,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,552,-0.000287277175247,-1.901061792999262,-1.901061792999262,-1.901061792999262,0.4221014492753623,719,-8.62367314293497e-05,-0.6701193504261495,-0.6701193504261495,-0.6701193504261495,0.4506258692628651,719,-0.0001774819521997,-1.409988970483628,-1.409988970483628,-1.409988970483628,0.4937413073713491,719,-0.00026048922099,-1.6035422989805843,-1.6035422989805843,-1.6035422989805843,0.4617524339360223,95.86666666666666,,1.0,1.0,14.355444447648248,strict_candidate
2,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_4h,tsrank_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_4h_Mul_trade_quote_volume_tsrank_168h,L0_raw_forward_return,1,-1.0,3,True,0.7389010231834876,0.0003711786396984,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,552,-0.0002961575596016,-1.8385645235581527,-1.8385645235581527,-1.8385645235581527,0.4420289855072464,719,-7.236241088236193e-05,-0.5363781418789844,-0.5363781418789844,-0.5363781418789844,0.4659248956884562,719,-0.0001439090795677,-1.1017369389339453,-1.1017369389339453,-1.1017369389339453,0.4923504867872044,719,-0.0002709623785498,-1.588126483165554,-1.588126483165554,-1.588126483165554,0.4645340751043115,95.86666666666666,,1.0,1.0,14.261098976816513,strict_candidate
3,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_4h,tsrank_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_4h_Mul_trade_quote_volume_tsrank_168h,L1_cross_sectional_relative_return,1,-1.0,3,True,0.7389010231834877,0.0003711786396984,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,552,-0.0002961575596016,-1.8385645235581536,-1.8385645235581536,-1.8385645235581536,0.4420289855072464,719,-7.236241088236193e-05,-0.5363781418789844,-0.5363781418789844,-0.5363781418789844,0.4659248956884562,719,-0.0001439090795677,-1.101736938933945,-1.101736938933945,-1.101736938933945,0.4923504867872044,719,-0.0002709623785498,-1.588126483165554,-1.588126483165554,-1.588126483165554,0.4645340751043115,95.86666666666666,,1.0,1.0,14.261098976816513,strict_candidate
4,H2_I4_near_miss_repair,taker_buy_sell_volume_ratio_last,taker_flow,open_interest_last,open_interest,shock_24h,zscore_168h,SafeDiv,core16he_H2_I4_near_miss_repair_taker_buy_sell_volume_ratio_last_shock_24h_SafeDiv_open_interest_last_zscore_168h,L5_vol_adjusted_return,24,1.0,3,True,0.947619754963101,0.2162103332742217,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,649,0.0397933200514682,1.0142913339479132,0.2855734906364561,-1.7400893607126977,0.4946070878274268,696,0.0351823797273039,0.819386715923883,0.0633385927322156,-1.9000908635240787,0.5158045977011494,696,0.0966834256029572,1.6986872333648129,0.3017297601083417,-1.4877403809457797,0.5431034482758621,696,0.1894303077497939,2.243522136863869,0.2869128998248737,-1.2106227902200437,0.507183908045977,92.8,,1.0,0.0,9.052380245036899,strict_candidate
5,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_1h,zscore_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_1h_Mul_trade_count_zscore_168h,L1_cross_sectional_relative_return,1,1.0,3,True,0.6534006512761928,-0.0005002188720671,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,696,0.0001175131574507,0.7089944468706069,0.7089944468706069,0.7089944468706069,0.5287356321839081,719,7.845607275484037e-05,0.7214079358137497,0.7214079358137497,0.7214079358137497,0.5062586926286509,719,8.100302778727083e-05,0.6833518792602746,0.6833518792602746,0.6833518792602746,0.502086230876217,719,0.0004400598060595,1.7001066548106585,1.7001066548106585,1.7001066548106585,0.5146036161335188,95.86666666666666,,0.0,1.0,4.3465993487238075,strict_candidate
6,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_1h,zscore_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_1h_Mul_trade_count_zscore_168h,L0_raw_forward_return,1,1.0,3,True,0.6534006512761933,-0.0005002188720671,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,696,0.0001175131574507,0.7089944468706062,0.7089944468706062,0.7089944468706062,0.5287356321839081,719,7.845607275484038e-05,0.7214079358137498,0.7214079358137498,0.7214079358137498,0.5062586926286509,719,8.100302778727083e-05,0.6833518792602746,0.6833518792602746,0.6833518792602746,0.502086230876217,719,0.0004400598060595,1.7001066548106585,1.7001066548106585,1.7001066548106585,0.5146036161335188,95.86666666666666,,0.0,1.0,4.346599348723807,strict_candidate
7,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_1h,zscore_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_1h_Mul_open_interest_change_24h_zscore_168h,L5_vol_adjusted_return,1,1.0,3,True,0.7440461458993015,-0.0122889899751342,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,696,0.0095854222870615,1.0827946950351424,1.0827946950351424,1.0827946950351424,0.5186781609195402,719,0.0183385007493141,1.7436044602664158,1.7436044602664158,1.7436044602664158,0.5146036161335188,719,0.0127020825250474,0.9825154204128396,0.9825154204128396,0.9825154204128396,0.5090403337969402,719,0.0170121678088383,0.9494967419310156,0.9494967419310156,0.9494967419310156,0.521557719054242,95.85833333333332,,0.0,0.0,-0.7440461458993015,strict_candidate
8,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,shock_24h,delta_24h,SafeDiv,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_shock_24h_SafeDiv_liquidity_rank_active_universe_delta_24h,L5_vol_adjusted_return,1,1.0,3,True,0.950332933260212,-0.0307556453268235,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,0,,,,,,21,0.0491473468814414,1.4365760737777216,1.4365760737777216,1.4365760737777216,0.6190476190476191,20,0.1046637527048085,1.4657432840140423,1.4657432840140423,1.4657432840140423,0.6,17,0.0713678963714269,0.9065134625884324,0.9065134625884324,0.9065134625884324,0.7058823529411765,85.63055555555556,,0.0,0.0,-0.950332933260212,strict_candidate
9,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_1h,zscore_168h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_1h_Mul_trade_count_zscore_168h,L5_vol_adjusted_return,1,1.0,3,True,0.9884496356964232,-0.0382480611652829,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,696,0.0077505017289164,0.7446506375715295,0.7446506375715295,0.7446506375715295,0.5201149425287356,719,0.0049536286882886,0.4207012180956057,0.4207012180956057,0.4207012180956057,0.502086230876217,719,0.0153689737021366,1.2135022876181818,1.2135022876181818,1.2135022876181818,0.5187760778859527,719,0.0197041080362677,0.8941843870268031,0.8941843870268031,0.8941843870268031,0.5090403337969402,95.86666666666666,,0.0,0.0,-0.9884496356964232,strict_candidate
10,H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_4h,delta_4h,Mul,core16he_H2_I4_near_miss_repair_kline_taker_buy_quote_share_delta_4h_Mul_median_quote_volume_168h_delta_4h,L1_cross_sectional_relative_return,1,-1.0,3,True,1.0114124588254485,0.0018906910203459,True,False,True,A7FFCORE16HE_NEAR_MISS_CONTROL_MARGIN,8,-0.0020907021662676,-0.7101694506353857,-0.7101694506353857,-0.7101694506353857,0.5,26,-0.0003348210587137,-0.8357082744299885,-0.8357082744299885,-0.8357082744299885,0.5,39,-0.000302115980904,-0.6974626302939452,-0.6974626302939452,-0.6974626302939452,0.4871794871794871,3,-0.0008310860178971,-0.6058223193136412,-0.6058223193136412,-0.6058223193136412,0.3333333333333333,95.86666666666666,,,,,forensic_near_miss_not_alpha_seed
