candidate_id,family_id,primary_seed_field,source_fields,expression,skeleton_key,production_key,motif,static_valid,uses_may,allowed_next_use
a7ab3_3b8e498a22c42cbc,G0_price_return_reversal,trade_return_1h,trade_return_1h,Rank(ZScore(trade_return_1h)),skeleton_0f915c45eabbea19,prod_6f9573d1224714f3,rank_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_617d5fd64be60100,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(trade_return_1h,24))",skeleton_8196f9d0a18000c7,prod_bf6a0736d8853070,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_385c707663bf3d94,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Delta(trade_return_1h,1),ZScore(Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,24))))",skeleton_92a027c8f2dc1bf3,prod_d9e852b96887a3ae,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_e9d3ac5ca8c61f32,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),168),Rank(Delta(trade_return_1h,24))))",skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_1b877fb7b527e1ae,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Decay(trade_return_1h,4),-3,3)",skeleton_5190274b100e392b,prod_7d438a3bbcba55b6,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Clip(ZScore(trade_return_1h),-3,3),3)",skeleton_d4e122deedc31056,prod_6f6c6bd3b682d7ab,winsor_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_b32904f3e48a1c9f,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Winsor(ZScore(trade_return_1h),3),12)",skeleton_6914c509e2ef8a2e,prod_ab0044062d7eed99,decay_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_1f806f028de41c42,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Delta(trade_return_1h,24)),Decay(ZScore(trade_return_1h),4)))",skeleton_f2a1f4fc989ed2f7,prod_d2adf3bf20dbeb32,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_2408450b6a3804c1,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,12))))",skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_038bfab0a7a0ecb3,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(Delta(trade_return_1h,4),24),Clip(Delta(trade_return_1h,4),-3,3)),-3,3)",skeleton_9e297cdfa8071e81,prod_51fe2182fc723b6d,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_1615f89091205d2b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Decay(ZScore(trade_return_1h),4),Mul(Rank(Mean(trade_return_1h,72)),ZScore(Delta(trade_return_1h,24)))),3)",skeleton_dbcc3589a0dbe876,prod_dc30f8d952ea4686,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_90e5cc8b69d8e4f8,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(TSRank(trade_return_1h,72),Rank(trade_return_1h))",skeleton_b1cbe6cc6bad4f18,prod_830f4ae6a9b61971,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_568082728e6a9609,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(ZScore(Mean(trade_return_1h,4)),ZScore(trade_return_1h)))",skeleton_6574be5f6db7bce2,prod_63e18a82ceed5db7,rank_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_09c000b24485330c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(Rank(trade_return_1h),ZScore(Delta(trade_return_1h,24))))",skeleton_cc27571b1f17020e,prod_123566b01069d672,zscore_atom,True,False,A7AB4_materialization_preflight_only
