candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_z2_materialization,preflight_decision,shared_pool_stage,control_modes,static_valid
a7al2z1_0025716230424fb7,"Rank(Abs(ZScore(Mean(mark_trade_basis_bps,48))))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium,mark_trade_basis_bps,Abs|Mean|Rank|ZScore,48,skeleton-6ebd7d4c1e06c9bc,a7al2z1::Z0_funding_basis_premium_dislocation::mark_trade_basis_bps::Abs|Mean|Rank|ZScore::48,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0098920a5ffc5a6b,"Sub(Rank(Delta(mark_index_basis_bps,168)),Rank(Delta(funding_rate,168)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_index_basis_bps,Delta|Rank|Sub,168,skeleton-8ad46b9059e6381f,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_index_basis_bps::Delta|Rank|Sub::168,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0313bc007ac9963d,"Rank(Abs(ZScore(Mean(premium_close_bps,12))))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium,premium_close_bps,Abs|Mean|Rank|ZScore,12,skeleton-6ebd7d4c1e06c9bc,a7al2z1::Z0_funding_basis_premium_dislocation::premium_close_bps::Abs|Mean|Rank|ZScore::12,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_069b0f75654dadde,"Mul(Winsor(ZScore(Mean(premium_close_bps,168))),Winsor(ZScore(Mean(funding_rate,168))))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|premium_close_bps,Mean|Mul|Winsor|ZScore,168,skeleton-f59f8b03ae1fd3c4,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|premium_close_bps::Mean|Mul|Winsor|ZScore::168,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0744891cb8e08bbf,"Sub(Rank(Mean(mark_trade_basis_bps,48)),Rank(Mean(funding_rate,48)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_trade_basis_bps,Mean|Rank|Sub,48,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_trade_basis_bps::Mean|Rank|Sub::48,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_094c52bafda2cb02,"GroupNeutralize(Rank(Delta(mark_index_basis_bps,72)),R5_basis_premium_dislocation_state)",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|state,R5_basis_premium_dislocation_state|mark_index_basis_bps,Delta|GroupNeutralize|Rank,72,skeleton-93ce4b9755fbcc1f,a7al2z1::Z0_funding_basis_premium_dislocation::R5_basis_premium_dislocation_state|mark_index_basis_bps::Delta|GroupNeutralize|Rank::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0a1368b901e4b360,"GroupNeutralize(Rank(Delta(mark_index_basis_bps,24)),R5_basis_premium_dislocation_state)",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|state,R5_basis_premium_dislocation_state|mark_index_basis_bps,Delta|GroupNeutralize|Rank,24,skeleton-93ce4b9755fbcc1f,a7al2z1::Z0_funding_basis_premium_dislocation::R5_basis_premium_dislocation_state|mark_index_basis_bps::Delta|GroupNeutralize|Rank::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0e0300e409dbd037,"Sub(Rank(Mean(mark_index_basis_bps,48)),Rank(Mean(funding_rate,48)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_index_basis_bps,Mean|Rank|Sub,48,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_index_basis_bps::Mean|Rank|Sub::48,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0ec1de18c96369a2,"Sub(Rank(Delta(premium_close_bps,24)),Rank(Delta(funding_rate,24)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|premium_close_bps,Delta|Rank|Sub,24,skeleton-8ad46b9059e6381f,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|premium_close_bps::Delta|Rank|Sub::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
a7al2z1_0fd66b0116db4b6b,"Sub(Rank(Delta(mark_index_basis_bps,336)),Rank(Delta(funding_rate,336)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_index_basis_bps,Delta|Rank|Sub,336,skeleton-8ad46b9059e6381f,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_index_basis_bps::Delta|Rank|Sub::336,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True
