candidate_id,root_subgraph_id,expression,semantic_bucket,motif_bucket,raw_inputs,status,error,missing_field_count,label_or_may_token,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std
a7ffcore5_c84732657e9ffe68d5,sg_74cf2751de3b75b6,trade_count,liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6949098,6949098,498,0,6944588,0.999928,0.999279,46237.0251084524
a7ffcore5_0b51b6e49becbdcfdd,sg_505dd7322878ec95,"Mean(trade_count,4)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6947604,6947604,1992,0,6943359,0.999713,0.999103,42493.5085569742
a7ffcore5_61617784d0a4a33b19,sg_58770d2c8446e487,"Mean(trade_count,8)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6945612,6945612,3984,0,6941403,0.999427,0.998821,40359.9523079368
a7ffcore5_548e4c9f811a38d9c7,sg_1d81b3d17579bfd1,"Delta(trade_count,4)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6947106,6947106,2490,0,6940731,0.999642,0.998724,35107.0200057882
a7ffcore5_5f7bebf67aa171ebdf,sg_2ea7bb7cddb7dd7d,"Mean(trade_count,24)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6937644,6937644,11952,0,6933579,0.99828,0.997695,37242.3451785077
a7ffcore5_d81518b22f49cf7be9,sg_3e40148d309cb6f8,"Delta(trade_count,8)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6945114,6945114,4482,0,6938915,0.999355,0.998463,38871.033865291
a7ffcore5_de743a183ba30f7d8d,sg_a15719f9fa742d1b,"Delta(trade_count,24)",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6937146,6937146,12450,0,6931124,0.998209,0.997342,41022.4058282319
a7ffcore5_ee43a19c2f8fbe6984,sg_1e43b3b279160e11,"ZScore(Mean(trade_count,4))",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6947604,6947604,1992,0,6947604,0.999713,0.999713,0.9984861021
a7ffcore5_1b8b8fa56b62264f79,sg_bd8184370e264f1f,"ZScore(Mean(trade_count,8))",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6945612,6945612,3984,0,6945612,0.999427,0.999427,0.998485956
a7ffcore5_cb841494b3af15d5f3,sg_3e2bb8e2fd6d452e,"ZScore(Mean(trade_count,24))",liquidity_like,liquidity_shock,trade_count,ok,,0,False,6949596,6937644,6937644,11952,0,6937644,0.99828,0.99828,0.9984853706
a7ffcore5_1e1087c68993245878,sg_728d6502609169e0,trade_volume,liquidity_like,single,trade_volume,ok,,0,False,6949596,6949098,6949098,498,0,6944588,0.999928,0.999279,3843196172.886753
a7ffcore5_c15c8d000c60bd0b6c,sg_86a939f32e60305d,age_x_liquidity,liquidity_like,single,age_x_liquidity,ok,,0,False,6949596,6638844,6638844,310752,0,6638844,0.955285,0.955285,1.6779063426
a7ffcore5_9602e13c183673a989,sg_312b6a1bff2e6ab7,trade_count_168h,liquidity_like,single,trade_count_168h,ok,,0,False,6949596,6638844,6638844,310752,0,6634779,0.955285,0.9547,34963.0631621713
a7ffcore5_5868db3efa1fa51de5,sg_eb8a24b1083f7b7a,trade_quote_volume,liquidity_like,single,trade_quote_volume,ok,,0,False,6949596,6949098,6949098,498,0,6944588,0.999928,0.999279,70332810.7842824
a7ffcore5_878dbcae60b12dc7c4,sg_b7545d2a9a08d265,"Mean(trade_volume,8)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6945612,6945612,3984,0,6941403,0.999427,0.998821,3250593535.8018622
a7ffcore5_8ba297202396059064,sg_dd07b47ae2562131,"Mean(trade_count,72)",liquidity_like,single,trade_count,ok,,0,False,6949596,6938142,6938142,11454,0,6934077,0.998352,0.997767,35745.1478316696
a7ffcore5_f8f5a7d388d98ddbee,sg_eecb865fab2bc504,"Mean(trade_volume,4)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6947604,6947604,1992,0,6943359,0.999713,0.999103,3450730182.942656
a7ffcore5_3f9342c01d03bceab4,sg_1095ba1e4e30c6a7,"Delta(trade_count,72)",liquidity_like,single,trade_count,ok,,0,False,6949596,6913242,6913242,36354,0,6907988,0.994769,0.994013,45776.1990234352
a7ffcore5_6d873c2816c849933c,sg_72e4ae25c0ae58c6,log_quote_volume_168h,liquidity_like,single,log_quote_volume_168h,ok,,0,False,6949596,6638844,6638844,310752,0,6634032,0.955285,0.954592,1.7930359534
a7ffcore5_8440aee173dc5dfbaa,sg_abb414efb0a02c0b,"Delta(trade_volume,4)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6947106,6947106,2490,0,6942864,0.999642,0.999031,3408371532.1941547
a7ffcore5_723804281e66609934,sg_ac7cc5746158c3fd,"Mean(trade_volume,72)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6938142,6938142,11454,0,6934077,0.998352,0.997767,2692705807.1502366
a7ffcore5_cf5c1b8aba4c4e3119,sg_cfa251a58b13c77a,"Delta(trade_volume,8)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6945114,6945114,4482,0,6940907,0.999355,0.99875,3613703809.513799
a7ffcore5_f5dda78ba8db059527,sg_f7f545c7952eba5a,"Mean(trade_volume,24)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6937644,6937644,11952,0,6933579,0.99828,0.997695,2963444604.1439247
a7ffcore5_0e4b7f2b856234cf48,sg_3f488dcf48baef71,"Delta(trade_volume,24)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6937146,6937146,12450,0,6933083,0.998209,0.997624,3939749400.9513135
a7ffcore5_93ba861b3b4f99be53,sg_785dde49c7d4c9f8,"Delta(trade_volume,72)",liquidity_like,single,trade_volume,ok,,0,False,6949596,6913242,6913242,36354,0,6909613,0.994769,0.994247,4333542697.871182
a7ffcore5_10daa5a0bac68d0035,sg_3155c33f029fe5d0,"Mean(age_x_liquidity,4)",liquidity_like,single,age_x_liquidity,ok,,0,False,6949596,6637350,6637350,312246,0,6637350,0.95507,0.95507,1.6777502646
a7ffcore5_c0adefbc6ce85b227c,sg_446bfdcbb1376687,"Mean(age_x_liquidity,8)",liquidity_like,single,age_x_liquidity,ok,,0,False,6949596,6635358,6635358,314238,0,6635358,0.954783,0.954783,1.6775330696
a7ffcore5_32638ef8639ddbbe2f,sg_068987765b215e39,median_quote_volume_168h,liquidity_like,single,median_quote_volume_168h,ok,,0,False,6949596,6638844,6638844,310752,0,6634032,0.955285,0.954592,36957844.23615448
